# x0 = 0 m
# y0 = 0 m
# v0 = 200.0 m/s
# theta0 = 45.0 deg
# g = 9.80665 m/s^2
0.200,24.878,23.407
0.400,39.012,37.903
0.600,53.016,53.224
0.800,66.345,63.453
1.000,75.960,71.383
1.200,85.067,80.796
1.400,90.609,85.329
1.600,98.734,92.676
1.800,106.028,95.388
2.000,111.238,98.786
2.200,117.625,100.179
2.400,122.185,102.584
2.600,125.310,105.314
2.800,129.071,105.812
3.000,133.830,107.678
3.200,139.318,107.647
3.400,143.740,105.975
3.600,148.121,110.709
3.800,151.280,108.216
4.000,156.029,108.016
4.200,157.373,103.858
4.400,158.256,102.982
4.600,165.083,101.290
4.800,167.222,99.616
5.000,169.565,96.882
5.200,171.618,95.013
5.400,173.685,89.806
5.600,179.328,86.730
5.800,181.153,81.569
6.000,184.043,78.859
6.200,184.697,75.795
6.400,186.612,70.690
6.600,189.056,68.653
6.800,190.761,61.629
7.000,192.298,57.256
7.200,193.615,51.283
7.400,197.177,48.555
7.600,197.337,43.795
7.800,198.706,38.709
8.000,198.547,32.463
8.200,201.088,26.588
8.400,201.913,22.344
8.600,203.682,16.630
8.800,204.849,10.698
